Sample	Plasmid	Strand	MeanRatio	StdRatio	Dilutions	GC
pool1-1_S61	seq_1_gc=0.26_PmeI_NcoI	forward	4.24873302221076	0.003151282990993	0	26
pool1-1_S61	seq_1_gc=0.26_PmeI_NcoI	reverse	6.3624189790238	0.004360953802379	0	26
pool1-1_S61	seq_1_gc=0.36_PmeI_XhoI	forward	2.83310237458983	0.006678653323312	-1	36
pool1-1_S61	seq_1_gc=0.36_PmeI_XhoI	reverse	3.76602446772915	0.008187391856744	-1	36
pool1-1_S61	seq_1_gc=0.46_PmeI_NcoI	forward	2.16989512363077	0.017993744247645	-2	46
pool1-1_S61	seq_1_gc=0.46_PmeI_NcoI	reverse	2.92660394905142	0.022076265521963	-2	46
pool1-1_S61	seq_1_gc=0.56_PmeI_XmaI	forward	1.90354500807766	0.051271698981635	-3	56
pool1-1_S61	seq_1_gc=0.56_PmeI_XmaI	reverse	2.45077339897734	0.060560794674278	-3	56
pool1-1_S61	seq_1_gc=0.66_PmeI_XhoI	forward	1.52111745917653	0.070497748524026	-4	66
pool1-1_S61	seq_1_gc=0.66_PmeI_XhoI	reverse	1.95278504732791	0.082718594829926	-4	66
pool1-1_S61	seq_2_gc=0.26_NcoI_PcaI	forward	4.37141079208078	0.07414878475393	-4	26
pool1-1_S61	seq_2_gc=0.26_NcoI_PcaI	reverse	6.29261851203618	0.099025535326469	-4	26
pool1-1_S61	seq_2_gc=0.36_XhoI_XmaI	forward	2.92314361297416	0.025999244865279	-3	36
pool1-1_S61	seq_2_gc=0.36_XhoI_XmaI	reverse	4.09281381177693	0.033733540066987	-3	36
pool1-1_S61	seq_2_gc=0.46_NcoI_PacI	forward	2.13060810729594	0.015856796276904	-2	46
pool1-1_S61	seq_2_gc=0.46_NcoI_PacI	reverse	2.87264545129289	0.019452103208743	-2	46
pool1-1_S61	seq_2_gc=0.56_XmaI_PacI	forward	1.858365692005	0.005301489626118	-1	56
pool1-1_S61	seq_2_gc=0.56_XmaI_PacI	reverse	2.48772170640226	0.006470258452037	-1	56
pool1-1_S61	seq_2_gc=0.66_XhoI_PacI	forward	1.75773001463912	0.001717023857952	0	66
pool1-1_S61	seq_2_gc=0.66_XhoI_PacI	reverse	2.29313062822639	0.002041538108052	0	66
pool1-2_S62	seq_1_gc=0.26_PmeI_NcoI	forward	4.28130705293662	0.003598971593669	0	26
pool1-2_S62	seq_1_gc=0.26_PmeI_NcoI	reverse	6.11746648091817	0.005671297082475	0	26
pool1-2_S62	seq_1_gc=0.36_PmeI_XhoI	forward	3.24436511184069	0.0096673967783	-1	36
pool1-2_S62	seq_1_gc=0.36_PmeI_XhoI	reverse	4.22077674582511	0.013289191347292	-1	36
pool1-2_S62	seq_1_gc=0.46_PmeI_NcoI	forward	2.7628416017012	0.028134226037802	-2	46
pool1-2_S62	seq_1_gc=0.46_PmeI_NcoI	reverse	3.48718895442646	0.037691877738214	-2	46
pool1-2_S62	seq_1_gc=0.56_PmeI_XmaI	forward	2.47259787958543	0.077331835183096	-3	56
pool1-2_S62	seq_1_gc=0.56_PmeI_XmaI	reverse	3.11129556924399	0.100698437919243	-3	56
pool1-2_S62	seq_1_gc=0.66_PmeI_XhoI	forward	2.1511377569131	0.112563304779799	-4	66
pool1-2_S62	seq_1_gc=0.66_PmeI_XhoI	reverse	2.58650408320268	0.154593437238995	-4	66
pool1-2_S62	seq_2_gc=0.26_NcoI_PcaI	forward	4.44852618431426	0.089420029854104	-4	26
pool1-2_S62	seq_2_gc=0.26_NcoI_PcaI	reverse	6.09632906025259	0.134459767353779	-4	26
pool1-2_S62	seq_2_gc=0.36_XhoI_XmaI	forward	3.35666412618939	0.037148014204148	-3	36
pool1-2_S62	seq_2_gc=0.36_XhoI_XmaI	reverse	4.38825169359749	0.052395151287364	-3	36
pool1-2_S62	seq_2_gc=0.46_NcoI_PacI	forward	2.68720001552897	0.024274162060039	-2	46
pool1-2_S62	seq_2_gc=0.46_NcoI_PacI	reverse	3.37076399745652	0.032419927635934	-2	46
pool1-2_S62	seq_2_gc=0.56_XmaI_PacI	forward	2.47417117076175	0.008157010999651	-1	56
pool1-2_S62	seq_2_gc=0.56_XmaI_PacI	reverse	2.98812627938023	0.010723363664022	-1	56
pool1-2_S62	seq_2_gc=0.66_XhoI_PacI	forward	2.36778861550968	0.00261436978616	0	66
pool1-2_S62	seq_2_gc=0.66_XhoI_PacI	reverse	2.78793672533881	0.003343058259554	0	66
pool1-3_S63	seq_1_gc=0.26_PmeI_NcoI	forward	3.75721160243097	0.005283882620027	0	26
pool1-3_S63	seq_1_gc=0.26_PmeI_NcoI	reverse	3.57936311589171	0.008311444387467	0	26
pool1-3_S63	seq_1_gc=0.36_PmeI_XhoI	forward	2.58042167572556	0.01040998830652	-1	36
pool1-3_S63	seq_1_gc=0.36_PmeI_XhoI	reverse	2.43523273534149	0.012395632158326	-1	36
pool1-3_S63	seq_1_gc=0.46_PmeI_NcoI	forward	2.05330906281117	0.025317098238917	-2	46
pool1-3_S63	seq_1_gc=0.46_PmeI_NcoI	reverse	2.04421108091525	0.029423069395983	-2	46
pool1-3_S63	seq_1_gc=0.56_PmeI_XmaI	forward	1.81146097017439	0.06661171006691	-3	56
pool1-3_S63	seq_1_gc=0.56_PmeI_XmaI	reverse	1.77495926595881	0.076470936792098	-3	56
pool1-3_S63	seq_1_gc=0.66_PmeI_XhoI	forward	1.53258871531813	0.084739293391565	-4	66
pool1-3_S63	seq_1_gc=0.66_PmeI_XhoI	reverse	1.49521777514974	0.092345488257065	-4	66
